Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country/Region,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
2718,CA-2017-100006,07/09/2017,13-Sep-17,Standard Class,DK-13375,Dennis Kane,Consumer,United States,New York City,New York,10024,East,TEC-PH-10002075,Technology,Phones,AT&T EL51110 DECT,$378.0,3,0.00%,$110
6288,CA-2017-100090,08/07/2017,12-Jul-17,Standard Class,EB-13705,Ed Braxton,Corporate,United States,San Francisco,California,94122,West,FUR-TA-10003715,Furniture,Tables,Hon 2111 Invitation Series Corner Table,$502.5,3,20.00%,($88)
6289,CA-2017-100090,08/07/2017,12-Jul-17,Standard Class,EB-13705,Ed Braxton,Corporate,United States,San Francisco,California,94122,West,OFF-BI-10001597,Office Supplies,Binders,"Wilson Jones Ledger-Size, Piano-Hinge Binder, 2"", Blue",$196.7,6,20.00%,$69
9515,CA-2017-100293,14/03/2017,18-Mar-17,Standard Class,NF-18475,Neil Französisch,Home Office,United States,Jacksonville,Florida,32216,South,OFF-PA-10000176,Office Supplies,Paper,Xerox 1887,$91.1,6,20.00%,$32
3084,CA-2017-100328,28/01/2017,03-Feb-17,Standard Class,JC-15340,Jasper Cacioppo,Consumer,United States,New York City,New York,10024,East,OFF-BI-10000343,Office Supplies,Binders,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",$3.9,1,20.00%,$1
3836,CA-2017-100363,08/04/2017,15-Apr-17,Standard Class,JM-15655,Jim Mitchum,Corporate,United States,Glendale,Arizona,85301,West,OFF-FA-10000611,Office Supplies,Fasteners,Binder Clips by OIC,$2.4,2,20.00%,$1
3837,CA-2017-100363,08/04/2017,15-Apr-17,Standard Class,JM-15655,Jim Mitchum,Corporate,United States,Glendale,Arizona,85301,West,OFF-PA-10004733,Office Supplies,Paper,Things To Do Today Spiral Book,$19.0,3,20.00%,$7
9441,CA-2017-100391,25/05/2017,29-May-17,Standard Class,BW-11065,Barry Weirich,Consumer,United States,New York City,New York,10035,East,OFF-PA-10001471,Office Supplies,Paper,Strathmore Photo Frame Cards,$14.6,2,0.00%,$7
6572,CA-2017-100678,18/04/2017,22-Apr-17,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Houston,Texas,77095,Central,TEC-AC-10000474,Technology,Accessories,Kensington Expert Mouse Optical USB Trackball for PC or Mac,$228.0,3,20.00%,$28
6569,CA-2017-100678,18/04/2017,22-Apr-17,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Houston,Texas,77095,Central,OFF-AR-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks,$2.7,2,20.00%,$1
6571,CA-2017-100678,18/04/2017,22-Apr-17,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Houston,Texas,77095,Central,OFF-EN-10000056,Office Supplies,Envelopes,Cameo Buff Policy Envelopes,$149.4,3,20.00%,$50
6570,CA-2017-100678,18/04/2017,22-Apr-17,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Houston,Texas,77095,Central,FUR-CH-10002602,Furniture,Chairs,DMI Arturo Collection Mission-style Design Wood Chair,$317.1,3,30.00%,($18)
9020,CA-2017-100706,16/12/2017,18-Dec-17,Second Class,LE-16810,Laurel Elliston,Consumer,United States,Springfield,Virginia,22153,South,TEC-AC-10001314,Technology,Accessories,Case Logic 2.4GHz Wireless Keyboard,$100.0,2,0.00%,$8
9021,CA-2017-100706,16/12/2017,18-Dec-17,Second Class,LE-16810,Laurel Elliston,Consumer,United States,Springfield,Virginia,22153,South,FUR-FU-10002268,Furniture,Furnishings,Ultra Door Push Plate,$29.5,6,0.00%,$10
6315,CA-2017-100762,24/11/2017,29-Nov-17,Standard Class,NG-18355,Nat Gilpin,Corporate,United States,Jackson,Michigan,49201,Central,OFF-AR-10000380,Office Supplies,Art,"Hunt PowerHouse Electric Pencil Sharpener, Blue",$151.9,4,0.00%,$46
6316,CA-2017-100762,24/11/2017,29-Nov-17,Standard Class,NG-18355,Nat Gilpin,Corporate,United States,Jackson,Michigan,49201,Central,OFF-LA-10003930,Office Supplies,Labels,"Dot Matrix Printer Tape Reel Labels, White, 5000/Box",$196.6,2,0.00%,$96
6317,CA-2017-100762,24/11/2017,29-Nov-17,Standard Class,NG-18355,Nat Gilpin,Corporate,United States,Jackson,Michigan,49201,Central,OFF-PA-10001815,Office Supplies,Paper,Xerox 1885,$144.1,3,0.00%,$69
6318,CA-2017-100762,24/11/2017,29-Nov-17,Standard Class,NG-18355,Nat Gilpin,Corporate,United States,Jackson,Michigan,49201,Central,OFF-PA-10004082,Office Supplies,Paper,"Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book",$16.0,2,0.00%,$8
9660,CA-2017-100860,26/03/2017,30-Mar-17,Second Class,CS-12505,Cindy Stewart,Consumer,United States,Pomona,California,91767,West,OFF-LA-10001982,Office Supplies,Labels,Smead Alpha-Z Color-Coded Name Labels First Letter Starter Set,$18.8,5,0.00%,$9
9462,CA-2017-100867,19/10/2017,24-Oct-17,Standard Class,EH-14125,Eugene Hildebrand,Home Office,United States,Lakewood,California,90712,West,TEC-PH-10004922,Technology,Phones,RCA Visys Integrated PBX 8-Line Router,$321.6,6,20.00%,$20
8464,CA-2017-100881,28/03/2017,01-Apr-17,Standard Class,DR-12940,Daniel Raglin,Home Office,United States,Albuquerque,New Mexico,87105,West,TEC-PH-10003273,Technology,Phones,AT&T TR1909W,$302.4,3,20.00%,$23
3888,CA-2017-100895,02/06/2017,06-Jun-17,Standard Class,SV-20785,Stewart Visinsky,Consumer,United States,Roswell,Georgia,30076,South,OFF-AR-10004511,Office Supplies,Art,"Sanford Colorific Scented Colored Pencils, 12/Pack",$8.6,2,0.00%,$3
3889,CA-2017-100895,02/06/2017,06-Jun-17,Standard Class,SV-20785,Stewart Visinsky,Consumer,United States,Roswell,Georgia,30076,South,TEC-PH-10001425,Technology,Phones,Mophie Juice Pack Helium for iPhone,$240.0,3,0.00%,$67
3890,CA-2017-100895,02/06/2017,06-Jun-17,Standard Class,SV-20785,Stewart Visinsky,Consumer,United States,Roswell,Georgia,30076,South,OFF-ST-10001490,Office Supplies,Storage,"Hot File 7-Pocket, Floor Stand",$356.9,2,0.00%,$107
7573,CA-2017-100916,21/10/2017,26-Oct-17,Standard Class,FH-14275,Frank Hawley,Corporate,United States,Newport News,Virginia,23602,South,FUR-TA-10004607,Furniture,Tables,Hon 2111 Invitation Series Straight Table,$591.3,4,0.00%,$112
7572,CA-2017-100916,21/10/2017,26-Oct-17,Standard Class,FH-14275,Frank Hawley,Corporate,United States,Newport News,Virginia,23602,South,OFF-ST-10003479,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",$194.7,5,0.00%,$10
7574,CA-2017-100916,21/10/2017,26-Oct-17,Standard Class,FH-14275,Frank Hawley,Corporate,United States,Newport News,Virginia,23602,South,OFF-AR-10001022,Office Supplies,Art,SANFORD Liquid Accent Tank-Style Highlighters,$2.8,1,0.00%,$1
7868,CA-2017-100972,19/11/2017,24-Nov-17,Second Class,DB-13360,Dennis Bolton,Home Office,United States,Salt Lake City,Utah,84106,West,OFF-PA-10000357,Office Supplies,Paper,Xerox 1888,$166.4,3,0.00%,$80
